State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
NY	NIAGARA	NIAGARA FALLS	 medium 	" 72,664 "	" 7,121 "	" 69,973 "	 49 	" 15,014 "	 10 	 10 	 7 	 4 	 5 	 36 	" 34,555 "	" 1,260,980 "								
FL	VOLUSIA	DAYTONA BEACH	 medium 	" 130,102 "	" 8,942 "	" 14,640 "	 32 	" 16,016 "	 11 	 10 	 6 	 4 	 5 	 37 	" 65,238 "	" 2,387,244 "								
NY	QUEENS	CORONA	 medium 	" 98,841 "	" 6,016 "	" 41,339 "	 144 	" 9,372 "	 7 	 9 	 11 	 5 	 5 	 37 	" 28,554 "	" 1,045,116 "								
CT	NEW HAVEN	NEW HAVEN	 medium 	" 123,457 "	" 5,899 "	" 46,545 "	 254 	" 12,929 "	 9 	 11 	 7 	 4 	 5 	 37 	" 52,456 "	" 1,921,014 "								
NJ	ESSEX	NEWARK	 medium 	" 273,358 "	" 7,110 "	" 59,068 "	 149 	" 10,555 "	 7 	 12 	 9 	 4 	 4 	 37 	" 100,082 "	" 3,674,490 "								
CA	LOS ANGELES	HAWTHORNE	 medium 	" 93,314 "	" 5,894 "	" 29,275 "	 -   	" 17,290 "	 12 	 6 	 9 	 5 	 5 	 37 	" 32,550 "	" 1,203,955 "								
NY	QUEENS	RIDGEWOOD	 medium 	" 97,524 "	" 6,338 "	" 48,760 "	 213 	" 10,518 "	 8 	 11 	 8 	 5 	 5 	 37 	" 36,471 "	" 1,350,949 "								
NY	ONONDAGA	SYRACUSE	 medium 	" 231,585 "	" 7,008 "	" 75,396 "	 11 	" 15,132 "	 11 	 10 	 7 	 5 	 5 	 37 	" 103,788 "	" 3,853,986 "								
MA	MIDDLESEX	CAMBRIDGE	 medium 	" 101,391 "	" 5,800 "	" 51,230 "	 144 	" 12,032 "	 9 	 10 	 6 	 5 	 6 	 37 	" 44,743 "	" 1,670,154 "								
CA	LOS ANGELES	SANTA MONICA	 medium 	" 86,294 "	" 5,600 "	" 29,827 "	 1 	" 15,976 "	 12 	 7 	 6 	 6 	 7 	 37 	" 48,923 "	" 1,831,140 "								
MA	BRISTOL	FALL RIVER	 medium 	" 91,355 "	" 6,794 "	" 61,201 "	 81 	" 16,341 "	 11 	 10 	 7 	 4 	 5 	 38 	" 41,666 "	" 1,565,488 "								
FL	PINELLAS	LARGO	 medium 	" 102,058 "	" 9,670 "	" 13,076 "	 8 	" 16,590 "	 12 	 10 	 6 	 5 	 5 	 38 	" 55,098 "	" 2,072,092 "								
FL	PINELLAS	SAINT PETERSBURG	 medium 	" 348,636 "	" 9,928 "	" 14,381 "	 30 	" 15,807 "	 11 	 10 	 6 	 5 	 5 	 38 	" 190,109 "	" 7,158,055 "								
NY	BROOME	BINGHAMTON	 medium 	" 76,513 "	" 7,002 "	" 66,936 "	 74 	" 16,176 "	 11 	 10 	 7 	 4 	 5 	 38 	" 35,865 "	" 1,350,999 "								
NY	QUEENS	FLUSHING	 medium 	" 214,473 "	" 5,773 "	" 38,938 "	 240 	" 11,629 "	 9 	 10 	 8 	 5 	 6 	 38 	" 79,428 "	" 2,992,962 "								
NY	ALBANY	ALBANY	 medium 	" 145,749 "	" 6,771 "	" 64,210 "	 75 	" 15,170 "	 11 	 10 	 7 	 5 	 6 	 38 	" 67,146 "	" 2,539,156 "								
CA	LOS ANGELES	VAN NUYS	 medium 	" 165,398 "	" 5,898 "	" 37,552 "	 0 	" 18,023 "	 12 	 7 	 9 	 5 	 5 	 38 	" 58,648 "	" 2,220,178 "								
CA	SAN DIEGO	NATIONAL CITY	 medium 	" 62,335 "	" 5,941 "	" 39,713 "	 -   	" 16,391 "	 11 	 7 	 10 	 5 	 5 	 38 	" 15,659 "	" 593,438 "								
CA	RIVERSIDE	HEMET	 medium 	" 94,615 "	" 6,973 "	" 36,828 "	 0 	" 20,044 "	 14 	 8 	 7 	 4 	 5 	 38 	" 43,755 "	" 1,659,208 "								
CA	LOS ANGELES	SHERMAN OAKS	 medium 	" 51,449 "	" 6,227 "	" 39,430 "	 0 	" 15,957 "	 12 	 8 	 6 	 6 	 7 	 38 	" 27,217 "	" 1,032,452 "								
NY	CHEMUNG	ELMIRA	 medium 	" 51,714 "	" 7,339 "	" 75,751 "	 23 	" 16,306 "	 11 	 10 	 7 	 4 	 5 	 38 	" 22,194 "	" 842,935 "								
MA	BRISTOL	NEW BEDFORD	 medium 	" 93,854 "	" 6,881 "	" 58,612 "	 144 	" 15,800 "	 11 	 11 	 7 	 4 	 5 	 38 	" 41,543 "	" 1,578,720 "								
NJ	ESSEX	EAST ORANGE	 medium 	" 69,899 "	" 6,845 "	" 56,603 "	 225 	" 11,093 "	 8 	 13 	 8 	 5 	 5 	 38 	" 28,503 "	" 1,084,655 "								
FL	PALM BEACH	DELRAY BEACH	 medium 	" 101,619 "	" 10,297 "	" 12,529 "	 3 	" 15,705 "	 11 	 10 	 6 	 5 	 6 	 38 	" 60,919 "	" 2,318,406 "								
FL	LEE	NORTH FORT MYERS	 medium 	" 51,668 "	" 10,190 "	" 13,070 "	 2 	" 17,319 "	 12 	 10 	 6 	 4 	 5 	 38 	" 30,563 "	" 1,164,376 "								
CA	LOS ANGELES	NORTH HOLLYWOOD	 medium 	" 156,071 "	" 5,945 "	" 38,064 "	 0 	" 17,799 "	 12 	 7 	 9 	 5 	 5 	 38 	" 55,674 "	" 2,121,061 "								
NJ	CAMDEN	CAMDEN	 medium 	" 80,796 "	" 8,341 "	" 63,416 "	 153 	" 10,416 "	 7 	 13 	 9 	 4 	 4 	 38 	" 30,136 "	" 1,150,654 "								
NY	RENSSELAER	TROY	 medium 	" 67,011 "	" 6,589 "	" 60,853 "	 127 	" 15,735 "	 11 	 10 	 7 	 5 	 5 	 38 	" 31,409 "	" 1,199,447 "								
FL	PINELLAS	CLEARWATER	 medium 	" 173,688 "	" 9,742 "	" 13,440 "	 10 	" 16,658 "	 12 	 10 	 6 	 5 	 5 	 38 	" 88,032 "	" 3,370,567 "								
CA	SAN LUIS OBISPO	SAN LUIS OBISPO	 medium 	" 59,006 "	" 5,688 "	" 35,779 "	 1 	" 21,574 "	 15 	 7 	 7 	 5 	 5 	 38 	" 21,191 "	" 811,764 "								
LA	ORLEANS	NEW ORLEANS	 medium 	" 484,674 "	" 12,756 "	" 31,844 "	 0 	" 14,675 "	 10 	 12 	 8 	 4 	 5 	 38 	" 234,342 "	" 9,008,367 "								
NJ	HUDSON	JERSEY CITY	 medium 	" 240,055 "	" 7,053 "	" 59,146 "	 145 	" 10,926 "	 8 	 12 	 8 	 5 	 5 	 39 	" 93,648 "	" 3,610,182 "								
TX	GALVESTON	GALVESTON	 medium 	" 59,199 "	" 11,035 "	" 27,305 "	 0 	" 15,352 "	 11 	 12 	 7 	 4 	 5 	 39 	" 32,696 "	" 1,261,374 "								
SC	CHARLESTON	NORTH CHARLESTON	 medium 	" 52,026 "	" 11,380 "	" 34,120 "	 4 	" 15,685 "	 11 	 12 	 7 	 4 	 5 	 39 	" 27,481 "	" 1,060,722 "								
CA	LOS ANGELES	INGLEWOOD	 medium 	" 138,492 "	" 6,113 "	" 33,410 "	 0 	" 17,470 "	 12 	 7 	 10 	 5 	 5 	 39 	" 44,824 "	" 1,730,784 "								
CA	LOS ANGELES	LONG BEACH	 medium 	" 480,162 "	" 5,821 "	" 30,673 "	 0 	" 18,172 "	 13 	 7 	 9 	 5 	 5 	 39 	" 178,364 "	" 6,893,099 "								
