State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
TX	FALLS	REAGAN	 small 	 241 	" 13,861 "	" 32,337 "	 -   	" 25,283 "	 17 	 14 	 8 	 4 	 5 	 48 	 139 	" 6,633 "								
LA	POINTE COUPEE	MORGANZA	 small 	" 1,518 "	" 17,118 "	" 37,070 "	 -   	" 23,689 "	 16 	 15 	 8 	 5 	 5 	 48 	 699 	" 33,356 "								
WY	LINCOLN	SMOOT	 small 	 207 	" 7,640 "	" 22,650 "	 -   	" 30,703 "	 21 	 8 	 9 	 5 	 6 	 48 	 91 	" 4,343 "								
GA	MERIWETHER	WARM SPRINGS	 small 	" 2,456 "	" 12,413 "	" 25,780 "	 11 	" 24,477 "	 16 	 14 	 7 	 5 	 5 	 48 	" 1,039 "	" 49,582 "								
KY	KNOTT	EMMALENA	 small 	 559 	" 13,109 "	" 35,273 "	 24 	" 24,648 "	 16 	 16 	 8 	 4 	 4 	 48 	 241 	" 11,501 "								
NJ	MORRIS	NETCONG	 small 	" 3,248 "	" 7,324 "	" 33,193 "	 453 	" 20,134 "	 14 	 14 	 7 	 6 	 6 	 48 	" 1,427 "	" 68,099 "								
LA	GRANT	GEORGETOWN	 small 	" 1,012 "	" 14,079 "	" 27,260 "	 -   	" 28,405 "	 19 	 12 	 7 	 4 	 5 	 48 	 485 	" 23,145 "								
PA	SNYDER	BEAVER SPRINGS	 small 	" 1,379 "	" 9,621 "	" 21,447 "	 456 	" 23,122 "	 16 	 15 	 8 	 5 	 5 	 48 	 613 	" 29,254 "								
AR	HOT SPRING	BONNERDALE	 small 	" 1,788 "	" 13,013 "	" 28,531 "	 -   	" 27,805 "	 18 	 12 	 8 	 5 	 5 	 48 	 818 	" 39,037 "								
OK	WAGONER	OKAY	 small 	 723 	" 14,584 "	" 41,748 "	 -   	" 21,245 "	 14 	 18 	 8 	 4 	 4 	 48 	 336 	" 16,035 "								
WA	KITSAP	KEYPORT	 small 	 403 	" 11,156 "	" 35,946 "	 58 	" 25,613 "	 18 	 11 	 7 	 5 	 6 	 48 	 165 	" 7,875 "								
OK	SEQUOYAH	SALLISAW	 small 	" 13,605 "	" 12,529 "	" 32,776 "	 -   	" 23,691 "	 16 	 16 	 8 	 4 	 4 	 48 	" 5,927 "	" 282,870 "								
TN	MCMINN	ETOWAH	 small 	" 7,959 "	" 13,578 "	" 36,911 "	 8 	" 24,387 "	 16 	 15 	 7 	 4 	 5 	 48 	" 3,734 "	" 178,208 "								
NC	WILKES	RONDA	 small 	" 2,998 "	" 10,834 "	" 24,046 "	 182 	" 27,470 "	 18 	 13 	 7 	 4 	 5 	 48 	" 1,315 "	" 62,760 "								
IA	UNION	CRESTON	 small 	" 9,115 "	" 10,267 "	" 58,668 "	 6 	" 23,258 "	 16 	 16 	 7 	 4 	 5 	 48 	" 4,218 "	" 201,316 "								
NJ	BURLINGTON	PEMBERTON	 small 	" 6,691 "	" 9,190 "	" 47,104 "	 189 	" 22,216 "	 16 	 13 	 8 	 5 	 6 	 48 	" 2,613 "	" 124,714 "								
IA	CLINTON	CLINTON	 small 	" 29,377 "	" 10,207 "	" 64,472 "	 14 	" 21,028 "	 14 	 16 	 7 	 5 	 5 	 48 	" 13,009 "	" 620,895 "								
NY	GREENE	CLIMAX	 small 	 812 	" 6,711 "	" 8,572 "	 603 	" 24,023 "	 16 	 13 	 8 	 5 	 6 	 48 	 359 	" 17,134 "								
OH	MEIGS	REEDSVILLE	 small 	" 2,083 "	" 10,288 "	" 33,083 "	 5 	" 26,129 "	 17 	 14 	 8 	 4 	 5 	 48 	 965 	" 46,058 "								
CT	LITCHFIELD	CANAAN	 small 	" 2,828 "	" 6,991 "	" 21,668 "	 589 	" 23,257 "	 16 	 14 	 7 	 5 	 6 	 48 	" 1,225 "	" 58,468 "								
PA	WESTMORELAND	LATROBE	 small 	" 28,016 "	" 10,159 "	" 56,504 "	 165 	" 19,928 "	 14 	 17 	 7 	 5 	 5 	 48 	" 12,050 "	" 575,149 "								
OH	HARRISON	NEW ATHENS	 small 	 358 	" 11,574 "	" 51,186 "	 113 	" 21,458 "	 14 	 17 	 8 	 4 	 4 	 48 	 152 	" 7,255 "								
OR	MALHEUR	BROGAN	 small 	 106 	" 10,370 "	" 24,187 "	 83 	" 34,263 "	 22 	 11 	 8 	 4 	 4 	 48 	 51 	" 2,434 "								
ND	MCINTOSH	LEHR	 small 	 305 	" 9,237 "	" 8,162 "	 385 	" 25,839 "	 17 	 17 	 6 	 4 	 4 	 48 	 209 	" 9,976 "								
WV	MARSHALL	MOUNDSVILLE	 small 	" 16,781 "	" 12,733 "	" 53,518 "	 34 	" 21,644 "	 14 	 17 	 7 	 4 	 5 	 48 	" 7,233 "	" 345,243 "								
VA	LEE	KEOKEE	 small 	 818 	" 11,305 "	" 24,842 "	 116 	" 27,311 "	 18 	 15 	 7 	 4 	 4 	 48 	 379 	" 18,090 "								
MS	TIPPAH	WALNUT	 small 	" 4,742 "	" 13,291 "	" 33,328 "	 6 	" 25,826 "	 17 	 15 	 7 	 4 	 4 	 48 	" 2,172 "	" 103,674 "								
MD	BALTIMORE	TOWSON	 small 	" 38,933 "	" 11,075 "	" 49,111 "	 125 	" 20,769 "	 15 	 14 	 6 	 6 	 7 	 48 	" 16,108 "	" 768,866 "								
NC	RANDOLPH	FRANKLINVILLE	 small 	" 4,629 "	" 11,587 "	" 26,292 "	 152 	" 25,780 "	 17 	 13 	 8 	 5 	 5 	 48 	" 1,942 "	" 92,696 "								
VA	SHENANDOAH	BASYE	 small 	 746 	" 11,255 "	" 24,218 "	 110 	" 19,802 "	 14 	 15 	 6 	 5 	 6 	 48 	 837 	" 39,953 "								
MO	WRIGHT	HARTVILLE	 small 	" 3,146 "	" 11,211 "	" 24,961 "	 4 	" 25,197 "	 16 	 15 	 7 	 4 	 4 	 48 	" 1,419 "	" 67,734 "								
PA	INDIANA	CLARKSBURG	 small 	" 1,798 "	" 11,099 "	" 52,566 "	 214 	" 24,235 "	 16 	 15 	 7 	 4 	 5 	 48 	 784 	" 37,424 "								
TX	GARZA	POST	 small 	" 4,896 "	" 10,932 "	" 36,276 "	 -   	" 24,712 "	 16 	 15 	 8 	 4 	 4 	 48 	" 1,964 "	" 93,751 "								
ID	BOISE	HORSESHOE BEND	 small 	" 1,628 "	" 9,275 "	" 23,723 "	 37 	" 32,424 "	 21 	 9 	 8 	 5 	 5 	 48 	 650 	" 31,028 "								
TX	FALLS	CHILTON	 small 	" 1,789 "	" 12,457 "	" 27,454 "	 -   	" 26,218 "	 17 	 13 	 8 	 5 	 5 	 48 	 717 	" 34,226 "								
NM	RIO ARRIBA	VELARDE	 small 	" 1,789 "	" 11,894 "	" 34,257 "	 -   	" 26,696 "	 17 	 13 	 8 	 4 	 5 	 48 	 735 	" 35,086 "								
NM	SANDOVAL	PENA BLANCA	 small 	 767 	" 12,049 "	" 34,361 "	 -   	" 27,110 "	 18 	 13 	 9 	 4 	 4 	 48 	 303 	" 14,464 "								
AR	POPE	DOVER	 small 	" 7,155 "	" 13,456 "	" 27,942 "	 3 	" 27,564 "	 18 	 12 	 8 	 5 	 5 	 48 	" 2,969 "	" 141,731 "								
MS	COAHOMA	JONESTOWN	 small 	" 1,280 "	" 16,641 "	" 52,096 "	 -   	" 17,261 "	 11 	 18 	 11 	 4 	 4 	 48 	 379 	" 18,092 "								
OH	PIKE	PIKETON	 small 	" 7,120 "	" 10,266 "	" 27,080 "	 92 	" 24,522 "	 16 	 14 	 8 	 4 	 5 	 48 	" 2,781 "	" 132,758 "								
KY	ADAIR	BREEDING	 small 	 390 	" 12,586 "	" 24,979 "	 40 	" 27,373 "	 18 	 14 	 7 	 4 	 4 	 48 	 196 	" 9,357 "								
NJ	SALEM	QUINTON	 small 	 251 	" 8,344 "	" 20,434 "	 610 	" 21,346 "	 15 	 16 	 7 	 5 	 5 	 48 	 109 	" 5,203 "								
NH	CARROLL	MADISON	 small 	" 1,502 "	" 7,731 "	" 21,784 "	 519 	" 20,814 "	 15 	 14 	 8 	 5 	 6 	 48 	" 1,189 "	" 56,762 "								
MO	NEW MADRID	LILBOURN	 small 	" 1,771 "	" 14,464 "	" 40,977 "	 -   	" 18,705 "	 12 	 19 	 8 	 4 	 4 	 48 	 792 	" 37,811 "								
AL	CULLMAN	CULLMAN	 small 	" 40,233 "	" 12,287 "	" 28,065 "	 4 	" 25,438 "	 17 	 14 	 7 	 5 	 5 	 48 	" 18,080 "	" 863,161 "								
NY	CAYUGA	UNION SPRINGS	 small 	" 1,856 "	" 8,667 "	" 52,978 "	 209 	" 23,545 "	 16 	 12 	 8 	 6 	 6 	 48 	 832 	" 39,722 "								
CO	WASHINGTON	ANTON	 small 	 155 	" 8,261 "	" 25,836 "	 -   	" 25,664 "	 17 	 13 	 8 	 5 	 5 	 48 	 82 	" 3,915 "								
PA	WARREN	BEAR LAKE	 small 	 857 	" 11,723 "	" 39,216 "	 133 	" 23,679 "	 16 	 13 	 9 	 5 	 5 	 48 	 357 	" 17,045 "								
KY	CHRISTIAN	FORT CAMPBELL	 small 	" 21,539 "	" 11,983 "	" 33,218 "	 2 	" 19,561 "	 13 	 14 	 11 	 5 	 5 	 48 	" 2,973 "	" 141,949 "								
GA	SUMTER	PLAINS	 small 	" 2,313 "	" 12,721 "	" 26,131 "	 -   	" 24,264 "	 16 	 14 	 8 	 5 	 5 	 48 	 941 	" 44,929 "								
MI	MONTCALM	SIX LAKES	 small 	" 2,215 "	" 10,514 "	" 42,530 "	 43 	" 21,777 "	 15 	 16 	 8 	 5 	 5 	 48 	" 1,169 "	" 55,816 "								
WV	BRAXTON	GASSAWAY	 small 	" 3,003 "	" 14,170 "	" 50,840 "	 -   	" 21,641 "	 14 	 18 	 7 	 4 	 4 	 48 	" 1,493 "	" 71,287 "								
AR	MISSISSIPPI	FRENCHMANS BAYOU	 small 	 44 	" 11,458 "	" 23,829 "	 -   	" 30,790 "	 20 	 11 	 8 	 4 	 5 	 48 	 21 	" 1,003 "								
MO	KNOX	HURDLAND	 small 	 607 	" 10,917 "	" 23,924 "	 20 	" 24,817 "	 16 	 15 	 8 	 4 	 4 	 48 	 291 	" 13,895 "								
IL	VERMILION	TILTON	 small 	" 2,132 "	" 10,915 "	" 65,361 "	 -   	" 20,651 "	 14 	 18 	 7 	 4 	 5 	 48 	 992 	" 47,367 "								
ME	AROOSTOOK	WALLAGRASS	 small 	 561 	" 7,331 "	" 20,663 "	 656 	" 23,398 "	 16 	 15 	 8 	 4 	 5 	 48 	 283 	" 13,513 "								
IL	FRANKLIN	VALIER	 small 	 565 	" 10,923 "	" 48,818 "	 -   	" 22,249 "	 15 	 17 	 7 	 4 	 5 	 48 	 259 	" 12,367 "								
WI	RICHLAND	RICHLAND CENTER	 small 	" 10,228 "	" 9,311 "	" 48,839 "	 57 	" 23,767 "	 16 	 15 	 7 	 5 	 5 	 48 	" 4,616 "	" 220,414 "								
NY	DUTCHESS	FISHKILL	 small 	" 14,045 "	" 7,245 "	" 44,648 "	 257 	" 23,081 "	 16 	 11 	 7 	 6 	 7 	 48 	" 5,209 "	" 248,732 "								
NY	ONEIDA	DURHAMVILLE	 small 	" 2,162 "	" 7,262 "	" 13,270 "	 491 	" 25,221 "	 17 	 12 	 8 	 5 	 6 	 48 	 982 	" 46,891 "								
LA	AVOYELLES	MANSURA	 small 	" 4,419 "	" 14,335 "	" 32,307 "	 1 	" 21,388 "	 14 	 18 	 8 	 4 	 4 	 48 	" 1,929 "	" 92,113 "								
FL	HILLSBOROUGH	SEFFNER	 small 	" 20,490 "	" 12,128 "	" 15,282 "	 4 	" 23,867 "	 16 	 12 	 8 	 5 	 6 	 48 	" 7,855 "	" 375,088 "								
PA	BERKS	TOPTON	 small 	" 2,348 "	" 8,787 "	" 34,091 "	 357 	" 21,581 "	 15 	 14 	 7 	 5 	 6 	 48 	 901 	" 43,024 "								
NJ	CUMBERLAND	DELMONT	 small 	" 1,986 "	" 8,103 "	" 26,335 "	 453 	" 21,472 "	 15 	 14 	 8 	 5 	 6 	 48 	 139 	" 6,637 "								
MO	PULASKI	FORT LEONARD WOOD	 small 	" 13,666 "	" 10,700 "	" 36,220 "	 -   	" 18,026 "	 12 	 16 	 10 	 5 	 5 	 48 	" 3,151 "	" 150,465 "								
AL	MARSHALL	HORTON	 small 	" 4,446 "	" 12,741 "	" 27,961 "	 6 	" 25,387 "	 17 	 14 	 8 	 4 	 5 	 48 	" 1,848 "	" 88,246 "								
TX	RUSK	MOUNT ENTERPRISE	 small 	" 2,535 "	" 11,976 "	" 28,726 "	 2 	" 24,441 "	 16 	 15 	 8 	 4 	 4 	 48 	" 1,226 "	" 58,544 "								
SC	CHARLESTON	CHARLESTON AFB	 small 	" 4,384 "	" 13,093 "	" 37,025 "	 4 	" 22,503 "	 15 	 13 	 10 	 5 	 5 	 48 	" 1,354 "	" 64,657 "								
OK	KIOWA	MOUNTAIN PARK	 small 	 524 	" 14,073 "	" 38,992 "	 -   	" 24,513 "	 16 	 18 	 7 	 4 	 4 	 48 	 278 	" 13,275 "								
IA	CLAY	SPENCER	 small 	" 12,885 "	" 9,913 "	" 58,823 "	 4 	" 22,357 "	 15 	 16 	 7 	 5 	 5 	 48 	" 5,791 "	" 276,540 "								
OR	WALLOWA	LOSTINE	 small 	 486 	" 10,721 "	" 23,326 "	 183 	" 28,785 "	 19 	 12 	 8 	 5 	 5 	 48 	 238 	" 11,365 "								
MO	SAINT FRANCOIS	DOE RUN	 small 	 807 	" 11,711 "	" 24,860 "	 -   	" 22,070 "	 15 	 16 	 8 	 5 	 5 	 48 	 344 	" 16,427 "								
TX	PALO PINTO	PALO PINTO	 small 	 912 	" 11,375 "	" 27,395 "	 -   	" 28,767 "	 19 	 12 	 7 	 5 	 5 	 48 	 497 	" 23,734 "								
MN	POLK	FERTILE	 small 	" 1,982 "	" 9,342 "	" 14,355 "	 268 	" 24,161 "	 16 	 16 	 7 	 4 	 5 	 48 	 898 	" 42,884 "								
GA	HARRIS	PINE MOUNTAIN	 small 	" 4,844 "	" 12,307 "	" 26,053 "	 1 	" 22,999 "	 16 	 14 	 8 	 5 	 6 	 48 	" 2,462 "	" 117,577 "								
TX	DIMMIT	CATARINA	 small 	 136 	" 12,470 "	" 23,168 "	 -   	" 23,607 "	 16 	 12 	 9 	 5 	 6 	 48 	 79 	" 3,773 "								
MT	CASCADE	SAND COULEE	 small 	 494 	" 8,135 "	" 25,654 "	 67 	" 32,291 "	 21 	 9 	 7 	 5 	 5 	 48 	 213 	" 10,172 "								
KS	CHASE	MATFIELD GREEN	 small 	 161 	" 9,891 "	" 24,099 "	 21 	" 26,794 "	 18 	 15 	 6 	 4 	 5 	 48 	 97 	" 4,632 "								
TN	HAMILTON	LUPTON CITY	 small 	 270 	" 14,812 "	" 48,041 "	 42 	" 18,669 "	 13 	 17 	 7 	 5 	 6 	 48 	 133 	" 6,352 "								
CT	WINDHAM	DANIELSON	 small 	" 12,816 "	" 6,587 "	" 30,127 "	 503 	" 23,500 "	 16 	 14 	 7 	 5 	 6 	 48 	" 5,311 "	" 253,644 "								
PA	BRADFORD	LE RAYSVILLE	 small 	 819 	" 10,061 "	" 22,269 "	 351 	" 22,156 "	 15 	 14 	 8 	 5 	 5 	 48 	 383 	" 18,292 "								
NC	SAMPSON	AUTRYVILLE	 small 	" 4,019 "	" 12,206 "	" 25,508 "	 61 	" 26,934 "	 18 	 12 	 8 	 5 	 5 	 48 	" 1,745 "	" 83,341 "								
MT	TREASURE	BIGHORN	 small 	 185 	" 8,229 "	" 24,096 "	 42 	" 33,887 "	 22 	 9 	 8 	 5 	 5 	 48 	 91 	" 4,346 "								
OH	SENECA	FOSTORIA	 small 	" 20,326 "	" 10,741 "	" 58,502 "	 19 	" 21,494 "	 15 	 16 	 8 	 5 	 5 	 48 	" 8,554 "	" 408,542 "								
WV	MERCER	LASHMEET	 small 	" 1,477 "	" 11,373 "	" 23,444 "	 119 	" 25,723 "	 17 	 15 	 8 	 4 	 4 	 48 	 655 	" 31,283 "								
NY	JEFFERSON	ADAMS CENTER	 small 	" 2,727 "	" 8,307 "	" 40,294 "	 266 	" 25,385 "	 17 	 11 	 8 	 5 	 6 	 48 	" 1,062 "	" 50,722 "								
AL	DE KALB	RAINSVILLE	 small 	" 7,611 "	" 12,393 "	" 26,739 "	 13 	" 25,841 "	 17 	 14 	 7 	 4 	 5 	 48 	" 3,339 "	" 159,474 "								
WV	TAYLOR	GRAFTON	 small 	" 10,752 "	" 12,921 "	" 53,003 "	 45 	" 21,523 "	 14 	 18 	 7 	 4 	 4 	 48 	" 4,820 "	" 230,211 "								
TX	ANGELINA	DIBOLL	 small 	" 8,935 "	" 11,830 "	" 29,367 "	 -   	" 25,175 "	 17 	 12 	 9 	 5 	 5 	 48 	" 2,879 "	" 137,506 "								
ME	KENNEBEC	FARMINGDALE	 small 	" 2,779 "	" 6,114 "	" 21,654 "	 633 	" 23,869 "	 16 	 14 	 7 	 5 	 5 	 48 	" 1,257 "	" 60,037 "								
PA	FRANKLIN	FANNETTSBURG	 small 	 506 	" 9,863 "	" 21,163 "	 502 	" 22,343 "	 15 	 16 	 8 	 4 	 5 	 48 	 241 	" 11,511 "								
KY	LYON	KUTTAWA	 small 	" 2,530 "	" 14,664 "	" 35,471 "	 2 	" 22,030 "	 15 	 16 	 7 	 5 	 5 	 48 	" 1,537 "	" 73,413 "								
PA	MONROE	BLAKESLEE	 small 	" 3,437 "	" 11,103 "	" 29,951 "	 179 	" 20,924 "	 15 	 13 	 9 	 6 	 6 	 48 	" 1,991 "	" 95,099 "								
MO	HOWELL	MOODY	 small 	 337 	" 11,904 "	" 25,087 "	 -   	" 22,940 "	 15 	 16 	 8 	 4 	 4 	 48 	 140 	" 6,687 "								
AR	CRITTENDEN	MARION	 small 	" 12,627 "	" 13,163 "	" 33,184 "	 -   	" 24,441 "	 17 	 12 	 8 	 5 	 6 	 48 	" 4,769 "	" 227,796 "								
MO	DAVIESS	JAMESPORT	 small 	" 2,019 "	" 11,782 "	" 24,509 "	 32 	" 20,503 "	 13 	 16 	 9 	 4 	 4 	 48 	 743 	" 35,490 "								
WA	LINCOLN	HARRINGTON	 small 	 637 	" 12,739 "	" 45,595 "	 105 	" 26,634 "	 18 	 14 	 7 	 4 	 5 	 48 	 340 	" 16,241 "								
NJ	UNION	RAHWAY	 small 	" 28,446 "	" 9,067 "	" 68,521 "	 194 	" 18,048 "	 13 	 14 	 8 	 6 	 7 	 48 	" 10,384 "	" 496,005 "								
FL	BREVARD	INDIALANTIC	 small 	" 12,792 "	" 11,889 "	" 15,650 "	 13 	" 21,382 "	 16 	 12 	 7 	 6 	 7 	 48 	" 6,410 "	" 306,194 "								
CA	NAPA	SAINT HELENA	 small 	" 9,415 "	" 7,343 "	" 44,165 "	 2 	" 25,109 "	 18 	 9 	 7 	 6 	 7 	 48 	" 4,344 "	" 207,506 "								
CA	LOS ANGELES	BEVERLY HILLS	 small 	" 41,056 "	" 7,539 "	" 37,266 "	 -   	" 18,570 "	 15 	 8 	 7 	 8 	 10 	 48 	" 19,175 "	" 915,971 "								
OK	MAYES	STRANG	 small 	 540 	" 11,387 "	" 24,857 "	 17 	" 26,347 "	 17 	 15 	 7 	 4 	 4 	 48 	 302 	" 14,426 "								
CO	LARIMER	ESTES PARK	 small 	" 9,147 "	" 8,655 "	" 53,652 "	 1 	" 19,541 "	 14 	 15 	 6 	 6 	 6 	 48 	" 6,283 "	" 300,135 "								
SC	AIKEN	JACKSON	 small 	" 4,335 "	" 14,300 "	" 34,554 "	 10 	" 24,789 "	 17 	 13 	 8 	 5 	 5 	 48 	" 1,950 "	" 93,150 "								
MI	OTSEGO	ELMIRA	 small 	" 1,842 "	" 9,452 "	" 23,943 "	 55 	" 22,999 "	 16 	 14 	 8 	 5 	 5 	 48 	" 1,069 "	" 51,067 "								
VT	FRANKLIN	SAINT ALBANS	 small 	" 14,836 "	" 7,601 "	" 54,580 "	 305 	" 23,599 "	 16 	 13 	 8 	 5 	 6 	 48 	" 6,333 "	" 302,533 "								
TN	GIBSON	TRENTON	 small 	" 9,866 "	" 13,892 "	" 38,068 "	 2 	" 23,607 "	 16 	 16 	 7 	 4 	 5 	 48 	" 4,314 "	" 206,085 "								
WV	HARRISON	ANMOORE	 small 	 580 	" 13,768 "	" 70,810 "	 13 	" 18,511 "	 12 	 19 	 8 	 4 	 4 	 48 	 269 	" 12,851 "								
PA	HUNTINGDON	PETERSBURG	 small 	" 2,209 "	" 9,336 "	" 22,133 "	 420 	" 22,911 "	 16 	 14 	 8 	 5 	 5 	 48 	" 1,246 "	" 59,525 "								
PA	WYOMING	MESHOPPEN	 small 	" 3,225 "	" 9,981 "	" 22,714 "	 401 	" 22,837 "	 15 	 15 	 8 	 5 	 5 	 48 	" 1,539 "	" 73,523 "								
AL	DE KALB	FYFFE	 small 	" 4,724 "	" 12,049 "	" 26,507 "	 6 	" 27,034 "	 18 	 14 	 7 	 4 	 5 	 48 	" 1,991 "	" 95,118 "								
CO	DELTA	CEDAREDGE	 small 	" 4,486 "	" 9,214 "	" 37,228 "	 1 	" 25,058 "	 17 	 15 	 7 	 5 	 5 	 48 	" 2,432 "	" 116,186 "								
KS	SMITH	GAYLORD	 small 	 284 	" 12,343 "	" 55,526 "	 -   	" 20,315 "	 14 	 19 	 7 	 4 	 4 	 48 	 165 	" 7,883 "								
MO	GENTRY	KING CITY	 small 	" 1,630 "	" 10,973 "	" 23,402 "	 35 	" 23,812 "	 16 	 15 	 7 	 4 	 5 	 48 	 758 	" 36,214 "								
MO	SULLIVAN	GREEN CITY	 small 	" 1,175 "	" 11,449 "	" 39,419 "	 8 	" 24,363 "	 16 	 17 	 7 	 4 	 4 	 48 	 610 	" 29,144 "								
TN	HAYWOOD	BROWNSVILLE	 small 	" 15,134 "	" 15,330 "	" 41,371 "	 4 	" 21,033 "	 14 	 17 	 8 	 4 	 5 	 48 	" 6,107 "	" 291,776 "								
IA	POWESHIEK	GRINNELL	 small 	" 11,359 "	" 9,824 "	" 52,391 "	 9 	" 22,438 "	 15 	 15 	 7 	 5 	 5 	 48 	" 4,621 "	" 220,780 "								
PA	WESTMORELAND	WYANO	 small 	 332 	" 8,723 "	" 19,340 "	 705 	" 18,827 "	 13 	 20 	 7 	 4 	 4 	 48 	 148 	" 7,071 "								
CA	BUTTE	BIGGS	 small 	" 3,154 "	" 8,352 "	" 46,084 "	 4 	" 29,205 "	 19 	 9 	 9 	 5 	 5 	 48 	" 1,138 "	" 54,372 "								
PA	WESTMORELAND	HYDE PARK	 small 	 513 	" 10,942 "	" 79,397 "	 -   	" 19,671 "	 14 	 17 	 7 	 5 	 5 	 48 	 231 	" 11,037 "								
IN	LAWRENCE	OOLITIC	 small 	" 1,320 "	" 11,355 "	" 51,585 "	 2 	" 23,581 "	 16 	 16 	 7 	 4 	 5 	 48 	 629 	" 30,054 "								
AL	FRANKLIN	HODGES	 small 	" 1,064 "	" 12,876 "	" 30,675 "	 -   	" 26,795 "	 18 	 14 	 7 	 4 	 4 	 48 	 492 	" 23,509 "								
AR	VAN BUREN	BEE BRANCH	 small 	" 1,724 "	" 13,699 "	" 30,192 "	 -   	" 27,433 "	 18 	 12 	 8 	 5 	 5 	 48 	 886 	" 42,335 "								
MO	AUDRAIN	VANDALIA	 small 	" 4,955 "	" 12,203 "	" 51,475 "	 -   	" 21,168 "	 14 	 18 	 7 	 4 	 5 	 48 	" 1,751 "	" 83,668 "								
TN	WAYNE	WAYNESBORO	 small 	" 6,452 "	" 13,729 "	" 31,159 "	 -   	" 25,509 "	 17 	 15 	 7 	 4 	 4 	 48 	" 2,938 "	" 140,386 "								
MN	GRANT	ELBOW LAKE	 small 	" 2,222 "	" 9,494 "	" 15,971 "	 221 	" 23,133 "	 16 	 15 	 7 	 5 	 5 	 48 	" 1,122 "	" 53,613 "								
AR	CRAIGHEAD	LAKE CITY	 small 	" 3,330 "	" 14,453 "	" 39,292 "	 3 	" 25,716 "	 17 	 13 	 8 	 5 	 5 	 48 	" 1,357 "	" 64,842 "								
MS	LAUDERDALE	DALEVILLE	 small 	 851 	" 12,722 "	" 28,834 "	 -   	" 25,028 "	 16 	 14 	 8 	 4 	 5 	 48 	 364 	" 17,393 "								
MT	ROSEBUD	ROSEBUD	 small 	 332 	" 8,825 "	" 32,396 "	 17 	" 33,438 "	 22 	 9 	 7 	 5 	 5 	 48 	 172 	" 8,219 "								
VT	BENNINGTON	MANCHESTER	 small 	 227 	" 7,882 "	" 21,877 "	 634 	" 16,232 "	 13 	 16 	 6 	 6 	 7 	 48 	 243 	" 11,612 "								
LA	SAINT LANDRY	ARNAUDVILLE	 small 	" 9,143 "	" 14,863 "	" 26,261 "	 0 	" 26,869 "	 18 	 13 	 8 	 4 	 5 	 48 	" 3,714 "	" 177,475 "								
MS	PIKE	SUMMIT	 small 	" 9,519 "	" 13,396 "	" 27,818 "	 3 	" 25,084 "	 17 	 15 	 8 	 4 	 5 	 48 	" 3,933 "	" 187,941 "								
MO	SAINT FRANCOIS	FARMINGTON	 small 	" 22,584 "	" 11,556 "	" 35,026 "	 0 	" 21,857 "	 15 	 16 	 7 	 5 	 5 	 48 	" 8,478 "	" 405,132 "								
CA	MADERA	COARSEGOLD	 small 	" 9,391 "	" 8,166 "	" 26,540 "	 -   	" 31,177 "	 21 	 8 	 8 	 5 	 6 	 48 	" 4,214 "	" 201,371 "								
OK	OKFUSKEE	OKEMAH	 small 	" 5,828 "	" 13,009 "	" 37,947 "	 1 	" 23,567 "	 15 	 17 	 7 	 4 	 4 	 48 	" 2,824 "	" 134,951 "								
TN	GRAINGER	THORN HILL	 small 	" 1,986 "	" 11,723 "	" 23,509 "	 63 	" 27,769 "	 18 	 14 	 8 	 4 	 4 	 48 	 917 	" 43,822 "								
MS	LAFAYETTE	TOCCOPOLA	 small 	 95 	" 12,952 "	" 28,903 "	 -   	" 27,699 "	 18 	 15 	 7 	 4 	 4 	 48 	 48 	" 2,294 "								
MI	BERRIEN	NEW BUFFALO	 small 	" 4,291 "	" 11,645 "	" 65,336 "	 26 	" 17,815 "	 13 	 17 	 7 	 5 	 6 	 48 	" 3,275 "	" 156,519 "								
WI	GRANT	PATCH GROVE	 small 	 75 	" 10,482 "	" 48,588 "	 132 	" 22,718 "	 15 	 17 	 8 	 4 	 4 	 48 	 30 	" 1,434 "								
ND	CAVALIER	HANNAH	 small 	 97 	" 9,764 "	" 19,714 "	 101 	" 24,630 "	 17 	 14 	 6 	 5 	 5 	 48 	 72 	" 3,441 "								
MN	ITASCA	GRAND RAPIDS	 small 	" 19,799 "	" 9,632 "	" 37,216 "	 127 	" 21,773 "	 15 	 16 	 7 	 5 	 5 	 48 	" 9,241 "	" 441,667 "								
NC	CASWELL	MILTON	 small 	" 1,616 "	" 11,271 "	" 24,340 "	 189 	" 26,644 "	 17 	 13 	 8 	 4 	 5 	 48 	 654 	" 31,260 "								
WA	WHITMAN	COLFAX	 small 	" 4,209 "	" 11,671 "	" 47,722 "	 65 	" 26,718 "	 18 	 13 	 7 	 5 	 5 	 48 	" 1,950 "	" 93,207 "								
OK	OKFUSKEE	WELEETKA	 small 	" 2,266 "	" 14,131 "	" 36,902 "	 1 	" 22,224 "	 14 	 18 	 8 	 4 	 4 	 48 	" 1,030 "	" 49,233 "								
